customer_id,account_age_months,q1_service_quality,q1_product_value,q2_service_quality,q2_product_value,q3_service_quality,q3_product_value
1,12,3,5,4,2,5,3
2,25,4,1,4,4,5,3
3,34,4,5,2,3,5,5
4,20,1,5,5,5,3,5
5,16,3,1,2,5,5,5
6,13,5,1,5,4,4,4
7,34,3,1,4,4,3,3
8,26,5,1,4,3,4,5
9,12,1,4,4,5,4,3
10,31,2,3,3,5,4,4
11,24,4,3,5,5,5,4
12,28,1,1,3,2,5,5
13,16,4,3,3,5,3,4
14,16,2,3,2,2,3,3
15,29,2,1,3,3,5,5
16,26,1,3,2,2,4,3
17,9,2,5,2,3,3,3
18,13,5,2,3,5,5,4
19,29,2,2,5,5,5,4
20,8,4,1,5,3,5,4
21,27,4,4,5,4,4,4
22,26,4,1,5,3,5,4
23,7,4,4,5,4,5,5
24,29,5,2,3,2,5,3
25,17,3,1,3,2,5,3
26,35,1,5,4,2,3,3
27,11,4,3,5,5,3,3
28,7,2,4,3,2,5,4
29,33,4,3,4,4,4,3
30,26,2,3,5,2,3,5
31,6,2,1,2,3,5,5
32,17,4,3,4,3,3,3
33,31,5,5,3,5,3,3
34,27,2,3,2,3,4,5
35,34,2,1,2,4,5,5
36,17,4,5,2,2,5,4
37,30,2,2,4,5,4,5
38,22,2,3,3,2,4,4
39,32,4,1,2,2,5,4
40,32,4,2,5,4,5,4
41,36,1,2,2,3,4,4
42,15,5,4,2,3,3,4
43,33,5,5,4,2,3,3
44,33,2,3,4,5,4,5
45,21,5,1,3,3,3,4
46,20,2,4,5,5,4,5
47,35,1,5,4,3,3,5
48,35,4,4,2,5,3,4
49,20,4,5,3,4,5,3
50,35,4,5,2,5,5,4
